Index,Date,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
0,8/10/2018,17,20,28,0.7,2000,0.9,0.79,0,0,Autumn,No Holiday,Yes
1,25/04/2018,15,22.8,21,2.1,1542,-0.6,2.75,0,0,Spring,No Holiday,Yes
2,13/06/2018,19,22.8,64,2.3,1444,15.6,0.45,0,0,Summer,No Holiday,Yes
3,7/10/2018,22,13.6,38,1.5,2000,-0.4,0,0,0,Autumn,No Holiday,Yes
4,15/10/2018,3,11.3,85,0,907,8.8,0,0,0,Autumn,No Holiday,Yes
5,31/07/2018,13,36.1,38,1,2000,19.5,3.12,0,0,Summer,No Holiday,Yes
6,9/10/2018,11,16.4,45,0.7,2000,4.4,1.22,0,0,Autumn,Holiday,No
7,26/03/2018,21,11.6,54,1.5,693,2.5,0,0,0,Spring,No Holiday,Yes
8,12/10/2018,14,16.5,32,1.4,1841,-0.2,2.43,0,0,Autumn,No Holiday,Yes
9,9/2/2018,0,-4.6,38,0.1,1551,-16.7,0,0,0,Winter,No Holiday,Yes
10,5/11/2018,3,8.3,81,1.1,642,5.2,0,0,0,Autumn,No Holiday,Yes
11,16/10/2018,5,10.2,70,1.5,1519,4.9,0,0,0,Autumn,No Holiday,Yes
12,27/09/2018,19,20.6,44,0.7,2000,7.9,0.01,0,0,Autumn,No Holiday,Yes
13,23/12/2017,4,5.3,79,0.9,506,1.9,0,0,0,Winter,No Holiday,Yes
14,8/11/2018,15,11.4,96,2,910,10.7,0.07,9.5,0,Autumn,No Holiday,Yes
15,29/08/2018,3,24.5,87,4.3,1985,22.1,0,0,0,Summer,No Holiday,Yes
16,15/11/2018,10,8.6,57,0.6,1102,0.5,0.77,0,0,Autumn,No Holiday,Yes
17,11/10/2018,13,13.5,32,5,1990,-2.9,2.56,0,0,Autumn,No Holiday,Yes
18,15/07/2018,18,32.2,55,2.4,1769,22,1.28,0,0,Summer,No Holiday,Yes
19,12/11/2018,4,4,68,0,2000,-1.3,0,0,0,Autumn,No Holiday,Yes
20,3/11/2018,21,11.1,69,0.9,619,5.6,0,0,0,Autumn,No Holiday,No
21,9/9/2018,0,19.6,53,1.5,2000,9.7,0,0,0,Autumn,No Holiday,Yes
22,17/02/2018,15,1,14,4.6,2000,-23.5,2.12,0,0,Winter,Holiday,Yes
23,8/5/2018,6,14.8,64,1.5,2000,8,0.02,0,0,Spring,No Holiday,Yes
24,24/08/2018,2,25.4,85,2,1453,22.6,0,0.8,0,Summer,No Holiday,Yes
25,30/07/2018,7,26.8,59,1.1,2000,18.1,0.28,0,0,Summer,No Holiday,Yes
26,23/09/2018,5,16.3,67,0.8,2000,10.1,0,0,0,Autumn,Holiday,Yes
27,13/11/2018,13,13.5,43,2.2,1687,1.1,1.92,0,0,Autumn,No Holiday,Yes
28,21/02/2018,11,0.2,22,2.2,1907,-19,1.57,0,0,Winter,No Holiday,Yes
29,29/06/2018,5,22.1,97,0.5,152,21.5,0,1.5,0,Summer,No Holiday,Yes
30,4/2/2018,17,-5.9,27,3.6,1974,-21.9,0.81,0,0,Winter,No Holiday,Yes
31,26/03/2018,4,5.5,96,2,53,4.9,0,0,0,Spring,No Holiday,Yes
32,31/01/2018,6,-3.1,80,0.7,1215,-6,0,0,3.5,Winter,No Holiday,Yes
33,2/11/2018,1,6.6,69,0,1512,1.3,0,0,0,Autumn,No Holiday,Yes
34,1/3/2018,16,1.4,33,4.8,1480,-13.1,1.98,0,0,Spring,Holiday,Yes
35,11/6/2018,13,23.7,49,1.2,2000,12.3,1.04,0,0,Summer,No Holiday,Yes
36,8/9/2018,16,27.7,32,1.4,2000,9.4,2.05,0,0,Autumn,No Holiday,Yes
37,30/01/2018,2,-10.6,40,1,2000,-21.6,0,0,0,Winter,No Holiday,Yes
38,3/6/2018,23,22,44,0.8,1978,9.1,0,0,0,Summer,No Holiday,Yes
39,22/08/2018,22,32.1,47,2,2000,19.3,0,0,0,Summer,No Holiday,Yes
40,2/2/2018,6,-7,62,1.3,1830,-13,0,0,0,Winter,No Holiday,Yes
41,20/12/2017,17,-0.9,70,1.1,299,-5.6,0.02,0,2.2,Winter,No Holiday,Yes
42,6/8/2018,13,34.3,54,2.2,1540,23.6,2.93,0,0,Summer,No Holiday,Yes
43,29/01/2018,17,-5.7,30,3.6,1978,-20.5,0.4,0,0,Winter,No Holiday,Yes
44,10/11/2018,7,9.5,86,0.6,293,7.2,0,0,0,Autumn,No Holiday,Yes
45,17/07/2018,12,30.8,57,2.3,940,21.2,2.52,0,0,Summer,No Holiday,Yes
46,5/4/2018,22,7.2,96,1,700,6.5,0,0,0,Spring,No Holiday,Yes
47,20/05/2018,0,15.8,41,1.2,2000,2.5,0,0,0,Spring,No Holiday,Yes
48,24/04/2018,17,15.1,52,1.9,2000,5.3,0.64,0,0,Spring,No Holiday,Yes
49,25/12/2017,17,-0.7,29,2,2000,-16.5,0.21,0,0,Winter,Holiday,Yes
50,14/06/2018,21,22.2,72,1,1786,16.9,0,0,0,Summer,No Holiday,Yes
51,4/3/2018,10,9.8,90,0.8,335,8.2,0.64,0,0,Spring,No Holiday,Yes
52,10/1/2018,16,-5.4,30,3.9,2000,-20.2,0.69,0,0.2,Winter,No Holiday,Yes
53,13/08/2018,2,28.1,78,0.9,1191,23.8,0,0,0,Summer,No Holiday,Yes
54,27/01/2018,17,-4.6,26,1.9,2000,-21.2,0.39,0,0,Winter,No Holiday,Yes
55,30/01/2018,17,-2.4,85,0.3,174,-4.5,0.06,0,0.6,Winter,No Holiday,Yes
56,13/10/2018,10,12.6,50,1.4,1712,2.4,1.68,0,0,Autumn,No Holiday,Yes
57,20/07/2018,10,29.8,59,1.2,973,20.9,2.32,0,0,Summer,No Holiday,Yes
58,28/08/2018,4,22.6,95,0.4,1919,21.7,0,0,0,Summer,No Holiday,Yes
59,1/1/2018,0,-3.2,40,0.5,1358,-14.9,0,0,0,Winter,Holiday,Yes
60,25/05/2018,15,25.1,25,2.7,1959,3.6,2.2,0,0,Spring,No Holiday,Yes
61,27/11/2018,14,11.6,70,1.5,388,6.3,0.45,0,0,Autumn,No Holiday,Yes
62,21/10/2018,1,10.6,60,0.5,1642,3.1,0,0,0,Autumn,No Holiday,Yes
63,7/2/2018,21,-6.3,48,2.2,1965,-15.5,0,0,0,Winter,No Holiday,Yes
64,15/02/2018,4,-1.9,34,3,2000,-15.7,0,0,0,Winter,Holiday,Yes
65,3/4/2018,4,16.9,74,1.2,1199,12.2,0,0,0,Spring,No Holiday,Yes
66,20/12/2017,4,-8.5,73,1,1723,-12.4,0,0,2,Winter,No Holiday,Yes
67,23/07/2018,21,30.8,60,1.8,2000,22.1,0,0,0,Summer,No Holiday,Yes
68,16/11/2018,19,8.7,78,2.5,460,5,0,0,0,Autumn,No Holiday,Yes
69,7/2/2018,9,-12,50,1.3,1523,-20.3,0.43,0,0,Winter,No Holiday,Yes
70,11/5/2018,22,16.2,54,1.1,1327,6.8,0,0,0,Spring,No Holiday,Yes
71,19/08/2018,1,25,57,0.9,2000,15.8,0,0,0,Summer,No Holiday,Yes
72,4/1/2018,2,-7.3,57,2,1978,-14.3,0,0,0,Winter,No Holiday,Yes
73,28/05/2018,21,21.8,50,2.1,1950,10.9,0,0,0,Spring,No Holiday,Yes
74,3/8/2018,6,30.5,62,1.3,1583,22.3,0.01,0,0,Summer,No Holiday,Yes
75,22/10/2018,17,18.9,35,1.7,720,3,0.41,0,0,Autumn,No Holiday,Yes
76,26/08/2018,16,23.5,56,2.3,2000,14.2,0.5,0.1,0,Summer,No Holiday,Yes
77,21/05/2018,14,23.4,36,2.8,1947,7.4,3.11,0,0,Spring,No Holiday,Yes
78,22/02/2018,13,4.5,51,3.8,1108,-4.7,1.08,0,0,Winter,No Holiday,Yes
