Index,Date,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
0,26/04/2018,5,10.2,73,0.8,1137,5.5,0,0,0,Spring,No Holiday,Yes
1,2/4/2018,7,15.1,80,1,623,11.6,0.01,0,0,Spring,No Holiday,Yes
2,25/05/2018,8,17.1,57,1.7,792,8.5,1.21,0,0,Spring,No Holiday,Yes
3,8/4/2018,22,2.7,88,2,621,0.9,0,0,0,Spring,No Holiday,Yes
4,6/4/2018,17,6.3,50,4.4,707,-3.3,0.64,0,0,Spring,No Holiday,Yes
5,12/12/2017,1,-11.2,51,1.1,2000,-19.3,0,0,0,Winter,No Holiday,Yes
6,11/6/2018,21,19,82,1,2000,15.8,0,0,0,Summer,No Holiday,Yes
7,19/02/2018,7,-0.9,45,0.9,1820,-11.3,0,0,0,Winter,No Holiday,Yes
8,7/12/2017,6,1,93,0.5,148,0,0,0,0.9,Winter,No Holiday,Yes
9,10/8/2018,19,33.4,49,2.6,2000,21.2,0.32,0,0,Summer,No Holiday,Yes
10,4/6/2018,6,18.9,53,0.3,1871,9.1,0.04,0,0,Summer,No Holiday,Yes
11,5/5/2018,15,23.8,29,4.7,1876,4.6,2.72,0,0,Spring,No Holiday,Yes
12,7/7/2018,21,23.4,52,1.4,2000,12.9,0,0,0,Summer,No Holiday,Yes
13,29/12/2017,21,1,77,1.5,297,-2.5,0,0,0,Winter,No Holiday,Yes
14,1/5/2018,11,22.7,63,1.1,605,15.2,1.36,0,0,Spring,Holiday,Yes
15,18/10/2018,17,16.9,44,1.6,2000,4.5,0.44,0,0,Autumn,No Holiday,Yes
16,1/7/2018,0,22.6,88,0.2,1259,20.5,0,0,0,Summer,No Holiday,Yes
17,20/01/2018,10,2.1,60,1.2,1005,-4.8,0.3,0,0,Winter,No Holiday,Yes
18,6/4/2018,0,7.2,95,0.9,861,6.4,0,0.5,0,Spring,No Holiday,Yes
19,4/12/2017,0,4.2,88,0.6,216,2.3,0,0,0,Winter,No Holiday,Yes
20,27/02/2018,6,0.6,50,0.4,985,-8.6,0,0,0,Winter,No Holiday,Yes
21,31/03/2018,23,12.4,63,1.3,1201,5.5,0,0,0,Spring,No Holiday,Yes
22,15/08/2018,21,28.6,69,1.3,2000,22.3,0,0,0,Summer,Holiday,Yes
23,21/05/2018,0,15.3,29,1.3,2000,-2.6,0,0,0,Spring,No Holiday,Yes
24,12/10/2018,20,11.8,53,1.5,2000,2.5,0,0,0,Autumn,No Holiday,Yes
25,1/2/2018,11,-2.6,33,1.5,1830,-16.6,0.95,0,1.4,Winter,No Holiday,Yes
26,19/04/2018,0,9.8,44,1.4,1268,-1.8,0,0,0,Spring,No Holiday,Yes
27,17/09/2018,18,25.3,56,2.8,1992,15.8,0.54,0,0,Autumn,No Holiday,Yes
28,20/11/2018,10,5.1,33,1.4,1842,-9.8,1.1,0,0,Autumn,No Holiday,Yes
29,5/4/2018,13,7.7,95,1.9,442,6.9,0.4,0,0,Spring,No Holiday,Yes
30,15/04/2018,3,6.4,83,2.3,1158,3.7,0,0,0,Spring,No Holiday,Yes
31,8/5/2018,22,13.2,54,2.2,2000,4,0,0,0,Spring,No Holiday,Yes
32,27/04/2018,6,9.9,66,1.5,931,3.8,0,0,0,Spring,No Holiday,Yes
33,20/01/2018,13,6.3,55,3,792,-2,0.85,0,0,Winter,No Holiday,Yes
34,4/8/2018,14,33.1,54,4.2,1879,22.5,2.09,0,0,Summer,No Holiday,Yes
35,17/05/2018,9,19.7,98,0.5,659,19.3,0.05,10,0,Spring,No Holiday,Yes
36,11/1/2018,14,-7.4,38,3.3,1718,-19.3,1.15,0,0,Winter,No Holiday,Yes
37,7/12/2017,16,3.2,38,2.9,1817,-9.7,0.51,0,0,Winter,No Holiday,Yes
38,13/05/2018,15,19.7,63,2.5,941,12.4,2.01,0,0,Spring,No Holiday,Yes
39,24/11/2018,22,2.7,85,1.1,580,0.4,0,0,3.2,Autumn,No Holiday,Yes
40,21/07/2018,11,32.9,45,2.1,1020,19.3,2.72,0,0,Summer,No Holiday,Yes
41,21/04/2018,18,22.2,11,3,2000,-9.7,0.98,0,0,Spring,No Holiday,Yes
42,24/07/2018,4,27.8,67,0.2,1982,21.1,0,0,0,Summer,No Holiday,Yes
43,15/05/2018,12,26.3,36,1.1,1133,10,2.88,0,0,Spring,No Holiday,Yes
44,20/06/2018,7,20,77,1.7,595,15.8,0.29,0,0,Summer,No Holiday,Yes
45,11/8/2018,19,33.8,44,2.2,2000,19.8,0.3,0,0,Summer,No Holiday,Yes
46,17/08/2018,1,23.4,47,2.1,2000,11.4,0,0,0,Summer,No Holiday,Yes
47,26/04/2018,7,10.7,68,0.8,1093,5,0.27,0,0,Spring,No Holiday,Yes
48,23/01/2018,9,-13.3,36,3.5,2000,-25.2,0.19,0,1,Winter,No Holiday,Yes
49,19/07/2018,10,29.4,56,2.2,1153,19.7,2.38,0,0,Summer,No Holiday,Yes
50,3/1/2018,13,-2.2,31,2.3,1910,-17,1.13,0,0,Winter,No Holiday,Yes
51,23/11/2018,20,2.7,27,1.2,2000,-14.4,0,0,0,Autumn,No Holiday,Yes
52,20/05/2018,18,22.2,22,1.8,2000,-0.5,1.25,0,0,Spring,No Holiday,Yes
53,17/02/2018,1,-3.1,36,3.5,2000,-16,0,0,0,Winter,Holiday,Yes
54,10/7/2018,7,21.1,95,0.4,2000,20.2,0.14,0,0,Summer,No Holiday,Yes
55,25/03/2018,23,8,82,1.3,196,5.1,0,0,0,Spring,No Holiday,Yes
56,18/01/2018,12,2.5,72,2.4,256,-2,0,0,0,Winter,No Holiday,Yes
57,23/12/2017,8,5.1,83,0.9,297,2.4,0,0,0,Winter,No Holiday,Yes
58,14/05/2018,3,11.9,95,1.5,180,11.1,0,0,0,Spring,No Holiday,Yes
59,29/10/2018,19,8.1,53,3.7,2000,-0.9,0,0,0,Autumn,No Holiday,Yes
60,22/06/2018,12,29.8,28,1.3,1777,9.3,3.21,0,0,Summer,No Holiday,Yes
61,23/07/2018,9,31,55,1.5,1945,20.8,1.14,0,0,Summer,No Holiday,Yes
62,6/8/2018,23,29.4,79,1.2,777,25.3,0,2,0,Summer,No Holiday,Yes
63,17/05/2018,2,21.8,97,1.3,175,21.2,0,1,0,Spring,No Holiday,Yes
64,29/11/2018,20,4.1,54,1.3,1434,-4.3,0,0,0,Autumn,No Holiday,Yes
65,22/03/2018,16,10.3,34,3.8,1850,-4.9,1.93,0,0,Spring,No Holiday,Yes
66,14/05/2018,9,15.1,74,0.6,437,10.4,0.76,0,0,Spring,No Holiday,Yes
67,13/03/2018,1,5.9,65,1,596,-0.1,0,0,0,Spring,No Holiday,Yes
