Index,Rented Bike Count
0,180
1,918
2,1996
3,177
4,776
5,127
6,1647
7,349
8,137
9,1903
10,742
11,1837
12,2235
13,282
14,1117
15,1804
16,865
17,259
18,56
19,285
20,183
21,655
22,1507
23,666
24,1440
25,194
26,520
27,3277
28,659
29,84
30,183
31,1283
32,427
33,356
34,676
35,28
36,187
37,471
38,2329
39,396
40,676
41,1986
42,218
43,1058
44,1629
45,1482
46,842
47,1124
48,228
49,695
50,279
51,767
52,2403
53,71
54,1209
55,336
56,267
57,188
58,167
59,1377
60,1116
61,985
62,969
63,78
64,818
65,752
66,1106
67,231
68,939
69,184
70,2019
71,1087
72,583
73,1191
74,163
75,354
76,17
77,68
78,29
79,566
80,1466
81,680
82,626
83,1191
84,214
85,1206
86,192
87,8
88,574
89,240
90,614
91,41
92,79
93,1076
94,216
95,270
96,354
97,1834
98,1071
99,181
100,1251
101,1899
102,1355
103,262
104,62
105,0
106,1430
107,186
108,1450
109,171
110,143
111,179
112,757
113,228
114,45
115,416
116,124
117,1087
118,207
119,926
120,74
121,2069
122,371
123,444
124,1141
125,709
126,211
127,1396
128,0
129,1003
130,2191
131,10
132,488
133,762
134,2392
135,714
136,373
137,0
138,304
139,320
140,1767
141,1115
142,1948
143,10
144,586
145,2479
146,2518
147,1611
148,187
149,343
150,429
151,551
152,169
153,666
154,1155
155,663
156,364
157,843
158,1054
159,148
160,0
161,325
162,459
163,1311
164,133
165,766
166,133
167,0
168,1869
169,624
170,2474
171,1067
172,157
173,137
174,32
175,2040
176,0
177,1646
178,1044
179,489
180,306
181,1969
182,373
183,752
184,1039
185,1019
186,990
187,354
188,268
189,367
190,109
191,309
192,150
193,160
194,97
195,145
196,135
197,1865
198,81
199,425
200,1473
201,40
202,559
203,80
204,1089
205,174
206,257
207,206
208,1635
209,1460
210,487
211,40
212,1442
213,520
214,13
215,213
216,40
217,996
218,712
219,59
220,2
221,2020
222,152
223,152
224,979
225,342
226,724
227,289
228,1290
229,285
230,1276
231,2021
232,832
233,49
234,528
235,42
236,461
237,916
238,190
239,228
240,18
241,198
242,475
243,598
244,677
245,128
246,0
247,667
248,846
249,1663
250,97
251,1049
252,356
253,48
254,314
255,206
256,272
257,101
258,646
259,531
260,445
261,944
262,103
263,1183
264,195
265,928
266,912
267,784
268,1148
269,554
270,811
271,0
272,403
273,791
274,247
275,1729
276,34
277,183
278,1904
279,95
280,1152
281,161
282,370
283,128
284,972
285,1416
286,795
287,1271
288,688
289,62
290,395
291,1665
292,278
293,1448
294,1156
295,505
296,301
297,174
298,338
299,2300
300,466
301,1161
302,335
303,56
304,1295
305,862
306,642
307,1241
308,2046
309,298
310,735
311,462
312,27
313,5
314,189
315,688
316,247
317,222
318,329
319,901
320,660
321,775
322,944
323,145
324,1869
325,1006
326,144
327,200
328,870
329,145
330,330
331,518
332,416
333,569
334,752
335,1152
336,219
337,706
338,338
339,266
340,581
341,751
342,312
343,385
344,449
345,252
346,61
347,104
348,998
349,587
